id,createdAt,createdBy,modifiedAt,modifiedBy,Name,Date,Location,AvailableSeats,Price
EVT1,2024-01-15T10:00:00Z,system,2024-01-15T10:00:00Z,system,Summer Music Festival,2024-07-15T18:00:00Z,Central Park New York,5000,75.50
EVT2,2024-01-15T10:05:00Z,system,2024-01-15T10:05:00Z,system,Tech Innovation Conference,2024-08-22T09:00:00Z,Silicon Valley Convention Center,3000,250.00
EVT3,2024-01-15T10:10:00Z,system,2024-01-15T10:10:00Z,system,Art Gallery Opening,2024-06-05T19:00:00Z,Modern Art Museum,200,35.75
EVT4,2024-01-15T10:15:00Z,system,2024-01-15T10:15:00Z,system,International Food Festival,2024-09-10T12:00:00Z,Downtown City Square,7500,45.25
EVT5,2024-01-15T10:20:00Z,system,2024-01-15T10:20:00Z,system,Jazz Night,2024-05-18T20:00:00Z,Blue Note Jazz Club,150,65.00
EVT6,2024-01-15T10:25:00Z,system,2024-01-15T10:25:00Z,system,Marathon Running Event,2024-10-05T07:00:00Z,City Marathon Route,10000,95.50
EVT7,2024-01-15T10:30:00Z,system,2024-01-15T10:30:00Z,system,Comedy Show,2024-04-12T21:00:00Z,Laugh Factory,300,55.75
EVT8,2024-01-15T10:35:00Z,system,2024-01-15T10:35:00Z,system,Scientific Symposium,2024-11-15T10:00:00Z,University Conference Hall,500,125.00
EVT9,2024-01-15T10:40:00Z,system,2024-01-15T10:40:00Z,system,Rock Concert,2024-08-01T19:30:00Z,Sports Arena,8000,95.25
EVT10,2024-01-15T10:45:00Z,system,2024-01-15T10:45:00Z,system,Wine Tasting Expo,2024-06-20T16:00:00Z,Wine Country Resort,400,85.50
EVT11,2024-01-15T10:50:00Z,system,2024-01-15T10:50:00Z,system,Film Festival,2024-09-25T13:00:00Z,City Cinema Complex,600,65.75
EVT12,2024-01-15T10:55:00Z,system,2024-01-15T10:55:00Z,system,Charity Gala,2024-05-30T19:00:00Z,Grand Ballroom,250,500.00
EVT13,2024-01-15T11:00:00Z,system,2024-01-15T11:00:00Z,system,Robotics Competition,2024-10-18T09:00:00Z,Technology Center,1000,75.25
EVT14,2024-01-15T11:05:00Z,system,2024-01-15T11:05:00Z,system,Dance Performance,2024-04-05T20:00:00Z,Opera House,800,95.00
EVT15,2024-01-15T11:10:00Z,system,2024-01-15T11:10:00Z,system,Book Fair,2024-11-22T10:00:00Z,Convention Center,2000,35.50
EVT16,2024-01-15T11:15:00Z,system,2024-01-15T11:15:00Z,system,Fashion Show,2024-07-08T18:30:00Z,Design Institute,300,250.75
EVT17,2024-01-15T11:20:00Z,system,2024-01-15T11:20:00Z,system,Classical Music Concert,2024-06-15T19:00:00Z,Symphony Hall,500,125.50
EVT18,2024-01-15T11:25:00Z,system,2024-01-15T11:25:00Z,system,Startup Pitch Event,2024-09-05T14:00:00Z,Innovation Hub,400,95.25
EVT19,2024-01-15T11:30:00Z,system,2024-01-15T11:30:00Z,system,Wildlife Conservation Summit,2024-05-10T09:00:00Z,Environmental Center,600,185.00
EVT20,2024-01-15T11:35:00Z,system,2024-01-15T11:35:00Z,system,Gaming Convention,2024-08-15T11:00:00Z,Gaming Expo Center,5000,75.50
EVT21,2024-01-15T11:40:00Z,system,2024-01-15T11:40:00Z,system,Photography Exhibition,2024-10-30T12:00:00Z,Art Gallery,200,45.75
EVT22,2024-01-15T11:45:00Z,system,2024-01-15T11:45:00Z,system,Culinary Workshop,2024-04-20T15:00:00Z,Cooking School,150,125.25
EVT23,2024-01-15T11:50:00Z,system,2024-01-15T11:50:00Z,system,International Trade Fair,2024-11-10T10:00:00Z,Business Convention Center,3000,95.00
EVT24,2024-01-15T11:55:00Z,system,2024-01-15T11:55:00Z,system,Theater Production,2024-07-22T20:00:00Z,City Theater,400,85.50
EVT25,2024-01-15T12:00:00Z,system,2024-01-15T12:00:00Z,system,Marathon Swimming Competition,2024-06-25T08:00:00Z,Coastal Resort,300,75.25
EVT26,2024-01-15T12:05:00Z,system,2024-01-15T12:05:00Z,system,Environmental Conference,2024-09-18T09:00:00Z,Green Technology Center,500,185.75
EVT27,2024-01-15T12:10:00Z,system,2024-01-15T12:10:00Z,system,Poetry Reading,2024-05-05T19:00:00Z,Literary Center,100,35.00
EVT28,2024-01-15T12:15:00Z,system,2024-01-15T12:15:00Z,system,Mountain Bike Race,2024-10-12T07:00:00Z,Mountain Trail Park,800,95.50
EVT29,2024-01-15T12:20:00Z,system,2024-01-15T12:20:00Z,system,AI Innovation Summit,2024-08-10T10:00:00Z,Tech Conference Hall,600,250.25
EVT30,2024-01-15T12:25:00Z,system,2024-01-15T12:25:00Z,system,Cultural Heritage Festival,2024-11-05T14:00:00Z,City Cultural Center,1000,45.75